 50 
 121.721   0  0.20E-01
  16.257   0  0.10E-01
  32.771   0  0.20E-01
  -3.007   0  0.10E-01
   6.569   0  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   3.6312  0  0.10E-01
  -0.1180  0  0.10E-01
   0.1538  0  0.10E-01
   0.0287  2 -0.32E+00
   3.86030 0  0.10E-02
   0.08214 0  0.10E-02
  -0.06062 0  0.10E-02
   0.10680 0  0.10E-02
   1.523   0  0.10E-01
   0.229   0  0.10E-01
   0.695   0  0.10E-01
   0.946   0  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
  -0.0285  0  0.10E-02
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   0.00364 0  0.60E-03
   0.00857 2  0.00E+00
   0.01113 2  0.00E+00
   0.00707 2  0.92E-03
  -0.204   0  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-01
   0.00000 1  0.10E-03
   0.00000 1  0.10E-03
   0.00000 1  0.10E-03
   0.00000 1  0.10E-03
  25.00000 1  0.10E-01
  90.53000 1  0.10E+00
 0.505181
 6
 11.096
 0.42888 0.01432 0.
 2.760   0.102  0.003
 90.53   1.34   0.
 17.217  0.337  0.013
  2.350  0.613  0.025
 13.300  2.236  0.104
  1.520  0.163  0.007
  0.0     1.2908   0.03616   Ar-H35Cl v=0
    4.600000    1.639848    1.445148    1.552260
    4.700000    1.395112    1.226308    1.304727
    4.800000    1.197039    1.048043    1.103518
    4.900000    1.036971    0.902671    0.940057
    5.000000    0.907801    0.784044    0.807366
    5.100000    0.803684    0.687237    0.699759
    5.200000    0.719833    0.608288    0.612602
    5.300000    0.652347    0.543992    0.542118
    5.400000    0.598062    0.491728    0.485225
    5.500000    0.554429    0.449344    0.439410
    5.600000    0.519393    0.415066    0.402621
    5.700000    0.491304    0.387428    0.373183
    5.800000    0.468833    0.365219    0.349726
    5.900000    0.450909    0.347443    0.331134
    6.000000    0.436667    0.333280    0.316493
    6.100000    0.425409    0.322054    0.305057
    6.200000    0.416567    0.313212    0.296218
    6.300000    0.409682    0.306301    0.289477
    6.400000    0.404380    0.300950    0.284427
    6.500000    0.400355    0.296858    0.280736
    6.600000    0.397361    0.293776    0.278134
    6.700000    0.395194    0.291503    0.276399
    6.800000    0.393690    0.289877    0.275352
    6.900000    0.392715    0.288763    0.274846
    7.000000    0.392159    0.288054    0.274761
    7.100000    0.391932    0.287663    0.275002
    7.200000    0.391962    0.287519    0.275490
    7.300000    0.392189    0.287565    0.276162
    7.400000    0.392565    0.287754    0.276967
    7.500000    0.393053    0.288051    0.277864
    7.600000    0.393620    0.288425    0.278821
    7.700000    0.394241    0.288853    0.279813
    7.800000    0.394896    0.289317    0.280819
    7.900000    0.395570    0.289802    0.281822
    8.000000    0.396250    0.290296    0.282812
    8.100000    0.396925    0.290790    0.283780
    8.200000    0.397590    0.291278    0.284717
    8.300000    0.398237    0.291755    0.285619
    8.400000    0.398863    0.292217    0.286484
    8.500000    0.399463    0.292660    0.287307
    8.600000    0.400030    0.293076    0.288082
    8.700000    0.400566    0.293468    0.288812
    8.800000    0.401073    0.293837    0.289499
    8.900000    0.401551    0.294184    0.290145
    9.000000    0.402001    0.294511    0.290753
    9.100000    0.402427    0.294818    0.291324
    9.200000    0.402827    0.295108    0.291860
    9.300000    0.403204    0.295379    0.292363
    9.400000    0.403558    0.295634    0.292834
    9.500000    0.403890    0.295873    0.293275
    9.600000    0.404201    0.296096    0.293688
    9.700000    0.404492    0.296305    0.294073
    9.800000    0.404763    0.296499    0.294433
    9.900000    0.405017    0.296680    0.294768
   10.000000    0.405253    0.296847    0.295080
   10.100000    0.405472    0.297002    0.295369
   10.200000    0.405674    0.297144    0.295637
   10.300000    0.405861    0.297275    0.295885
   10.400000    0.406032    0.297393    0.296113
   10.500000    0.406189    0.297501    0.296323
   10.600000    0.406331    0.297597    0.296515
   10.700000    0.406461    0.297683    0.296689
   10.800000    0.406577    0.297759    0.296848
   10.900000    0.406681    0.297826    0.296992
   11.000000    0.406774    0.297883    0.297121
   11.100000    0.406858    0.297934    0.297240
   11.200000    0.406937    0.297983    0.297351
   11.300000    0.407012    0.298029    0.297455
   11.400000    0.407082    0.298072    0.297553
   11.500000    0.407148    0.298113    0.297645
   11.600000    0.407210    0.298152    0.297731
   11.700000    0.407269    0.298189    0.297812
   11.800000    0.407324    0.298224    0.297888
   11.900000    0.407377    0.298258    0.297960
   12.000000    0.407426    0.298289    0.298027
   12.100000    0.407473    0.298320    0.298090
   12.200000    0.407517    0.298348    0.298150
   12.300000    0.407558    0.298376    0.298206
   12.400000    0.407598    0.298402    0.298258
   12.500000    0.407635    0.298427    0.298308
   12.600000    0.407670    0.298450    0.298355
   12.700001    0.407704    0.298473    0.298399
   12.799999    0.407735    0.298495    0.298441
   12.900000    0.407765    0.298516    0.298480
   13.000000    0.407794    0.298535    0.298517
   13.100000    0.407820    0.298554    0.298552
   13.200001    0.407846    0.298573    0.298585
   13.299999    0.407870    0.298590    0.298616
   13.400000    0.407893    0.298607    0.298645
   13.500000    0.407915    0.298623    0.298673
   13.600000    0.407936    0.298638    0.298699
   13.700001    0.407956    0.298653    0.298724
   13.799999    0.407975    0.298667    0.298747
   13.900000    0.407992    0.298681    0.298769
   14.000000    0.408009    0.298694    0.298790
   14.100000    0.408026    0.298707    0.298810
   14.200001    0.408041    0.298719    0.298829
   14.299999    0.408056    0.298730    0.298846
   14.400000    0.408070    0.298742    0.298863
   14.500000    0.408083    0.298752    0.298879

